"Rec.1","value","n"
"Conservation","Behaviour",5
"Management","Behaviour",11
"NoRecommendations","Behaviour",13
"Management","Behaviour",1
"Restoration","Behaviour",1
"Conservation","Biodiversity",28
"Management","Biodiversity",102
"NoRecommendations","Biodiversity",57
"Restoration","Biodiversity",2
"Conservation","Biodiversity",15
"Management","Biodiversity",12
"Restoration","Biodiversity",5
"Restoration","Biodiversity",3
"Conservation","Breeding",6
"Management","Breeding",17
"NoRecommendations","Breeding",25
"Restoration","Breeding",1
"Conservation","Breeding",2
"Management","Breeding",2
"Conservation","Demographics/Patterns",8
"Management","Demographics/Patterns",20
"NoRecommendations","Demographics/Patterns",15
"Restoration","Demographics/Patterns",3
"Conservation","Demographics/Patterns",2
"Management","Demographics/Patterns",1
"Restoration","Demographics/Patterns",1
"NoRecommendations","Foraging",1
"Conservation","Resources",1
"Management","Resources",3
"NoRecommendations","Resources",3
"Conservation","Survival",3
"Management","Survival",10
"NoRecommendations","Survival",14
"Restoration","Survival",1
"Conservation","Survival",1
