"duration_bin","value","n"
"(0,1]","Behaviour",13
"(0,1]","Biodiversity",65
"(0,1]","Breeding",14
"(0,1]","Demographics/Patterns",14
"(0,1]","Foraging",1
"(0,1]","Resources",1
"(0,1]","Survival",7
"(1,5]","Behaviour",11
"(1,5]","Biodiversity",90
"(1,5]","Breeding",21
"(1,5]","Demographics/Patterns",16
"(1,5]","Resources",5
"(1,5]","Survival",15
"(5,10]","Behaviour",3
"(5,10]","Biodiversity",9
"(5,10]","Breeding",5
"(5,10]","Demographics/Patterns",4
"(5,10]","Survival",3
"(10,155]","Biodiversity",11
"(10,155]","Breeding",6
"(10,155]","Demographics/Patterns",8
"(10,155]","Survival",2
