"COUNTRY","country.count"
"Canada",5
"Cyprus",1
"China",24
"Italy",13
"United States",2
"China ",1
"China",24
"USA",59
"USA",59
"USA",59
"USA",59
"USA",59
"China",24
"China",24
"USA",59
"Romania",1
"Australia",3
"United Arab Emirates",1
"Spain and France",1
"USA",59
"China",24
"China",24
"South Korea",3
"China",24
"USA",59
"USA",59
"USA",59
"China",24
"Germany",6
"United Kingdom",9
"Germany",6
"Finland",4
"USA",59
"USA",59
"USA",59
"USA",59
"USA",59
"New Zealand",3
"Germany",6
"Italy",13
"USA",59
"USA",59
"Germany",6
"New Zealand",3
"USA",59
"Spain",3
"USA",59
"USA",59
"Finland",4
"USA",59
"USA",59
"Taiwan",3
"Iran",3
"USA",59
"Switzerland",1
"Portugal",3
"USA",59
"USA",59
"USA",59
"South Korea",3
"Canada",5
"USA",59
"Portugal",3
"USA",59
"Hungary",1
"Canada",5
"China",24
"Italy",13
"Spain",3
"USA",59
"USA",59
"United Kingdom",9
"USA",59
"South Korea",3
"Italy",13
"Japan",2
"China",24
"Italy",13
"USA",59
"USA",59
"Republic of Korea",1
"China",24
"Italy",13
"New Zealand",3
"Italy",13
"China",24
"Italy",13
"China",24
"France",1
"Japan",2
"USA",59
"Oman",1
"Italy",13
"USA",59
"Germany",6
"Taiwan",3
"Australia",3
"United Kingdom",9
"Iran",3
"China",24
"Finland",4
"Georgia",1
"China",24
"India",1
"Iran",3
"USA",59
"Turkey",1
"Italy",13
"China",24
"Taiwan",3
"Korea",3
"Canada",5
"Almada",1
"Spain",3
"Italy",13
"China",24
"Italy",13
"China",24
"USA",59
"USA",59
"Korea",3
"China",24
"South Africa",1
"USA",59
"China",24
"Multiple",2
"China",24
"Australia",3
"China",24
"United States",2
"Italy",13
"Germany",6
"Greece",1
"Ireland",1
"USA",59
"China",24
"Korea",3
"Iraq",1
"Multiple",2
"USA",59
"USA",59
"USA",59
"USA",59
"USA",59
"USA",59
"USA",59
"USA",59
"Qatar",1
"USA",59
"United Kingdom",9
"USA",59
"United Kingdom",9
"United Kingdom",9
"USA",59
"USA",59
"USA",59
"United Kingdom",9
"USA",59
"USA",59
"USA",59
"Portugal",3
"Canada",5
"Finland",4
"USA",59
"USA",59
"United Kingdom",9
"United Kingdom",9
"China",24
"USA",59
