"value","comparator","count","yes/no"
"Canopy cover",54.8387096774194,51,"y"
"Canopy cover",45.1612903225806,42,"n"
"Composition",50.609756097561,83,"y"
"Composition",49.390243902439,81,"n"
"Connectivity",41.6666666666667,10,"y"
"Connectivity",58.3333333333333,14,"n"
"Diversity metric",85.7142857142857,18,"y"
"Diversity metric",14.2857142857143,3,"n"
"Exotic/invasive species",62.5,10,"y"
"Exotic/invasive species",37.5,6,"n"
"Forested area",50.7936507936508,64,"y"
"Forested area",49.2063492063492,62,"n"
"Fragmentation",85.7142857142857,18,"y"
"Fragmentation",14.2857142857143,3,"n"
"Individual tree management",66.6666666666667,12,"y"
"Individual tree management",33.3333333333333,6,"n"
"Land use type",55.2083333333333,53,"y"
"Land use type",44.7916666666667,43,"n"
"Native species",42.8571428571429,9,"y"
"Native species",57.1428571428571,12,"n"
