"COUNTRY","count","latitude","longitude"
"USA",97,37.09024,-95.712891
"Australia",39,-28.274398,133.775136
"Canada",16,56.130366,-106.346771
"China",13,35.86166,104.195397
"Japan",10,36.204824,138.252924
"Poland",10,51.919438,19.145136
"Spain",9,40.463667,-3.74922
"United Kingdom",9,55.378051,-3.435973
"South Korea",8,35.907757,127.766922
"Italy",7,41.87194,12.56738
"France",6,46.227638,2.213749
"India",6,24.79368,78.96288
"Czech Republic",5,49.817492,15.472962
"New Zealand",4,-40.900557,174.885971
"Austria",3,47.516231,14.550072
"Finland",3,61.92411,25.748151
"Sweden",3,60.128161,18.643501
"Brazil",2,-33.733,-51.92528
"Chile",2,-35.675147,-71.542969
"Germany",2,51.165691,10.451526
"Ireland",2,53.41291,-8.24389
"Switzerland",2,46.818188,8.227512
"Argentina",1,-38.416097,-63.616672
"Bulgaria",1,42.733883,25.48583
"Greece",1,39.074208,21.824312
"Hungary",1,47.162494,19.503304
"Iran",1,32.427908,53.688046
"Israel",1,31.046051,34.851612
"Kenya",1,-0.023559,37.906193
"Norway",1,60.472024,8.468946
"Portugal",1,40.39987,-8.224454
"Romania",1,45.943161,24.96676
"Singapore",1,1.352083,103.819836
"Slovakia",1,48.669026,19.699024
"South Africa",1,-30.559482,22.937506
"Taiwan",1,24.89781,120.960515
"Turkey",1,38.963745,35.243322
"Ukraine",1,48.379433,31.16558
"USA/ Germany",1,NA,NA
"Venezuela",1,6.42375,-66.58973
