"COUNTRY","Journal","count","journal.count"
"Canada","Urban Ecosystems",37,2
"USA","Urban Ecosystems",37,20
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Australia","Urban Ecosystems",37,4
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"Other","Urban Ecosystems",37,1
"USA","Landscape and Urban Planning",25,7
"Other","Landscape and Urban Planning",25,1
"Other","Landscape and Urban Planning",25,1
"France","Landscape and Urban Planning",25,2
"Australia","Landscape and Urban Planning",25,6
"Japan","Landscape and Urban Planning",25,2
"Other","Landscape and Urban Planning",25,1
"Other","Landscape and Urban Planning",25,1
"Switzerland","Landscape and Urban Planning",25,2
"Other","Landscape and Urban Planning",25,1
"Other","Landscape and Urban Planning",25,1
"Other","Urban Forestry & Urban Greening",17,1
"Japan","Urban Forestry & Urban Greening",17,2
"China","Urban Forestry & Urban Greening",17,5
"USA","Urban Forestry & Urban Greening",17,3
"Other","Urban Forestry & Urban Greening",17,1
"Czech Republic","Urban Forestry & Urban Greening",17,3
"Other","Urban Forestry & Urban Greening",17,1
"Other","Urban Forestry & Urban Greening",17,1
"USA","Biological Conservation",11,5
"Other","Biological Conservation",11,1
"Australia","Biological Conservation",11,4
"Other","Biological Conservation",11,1
"USA","The Condor",9,8
"Other","The Condor",9,1
"Other","Landscape Ecology",7,1
"United Kingdom","Landscape Ecology",7,2
"Australia","Landscape Ecology",7,2
"Other","Landscape Ecology",7,1
"Other","Landscape Ecology",7,1
"Other","Journal of Urban Ecology",6,1
"Other","Journal of Urban Ecology",6,1
"USA","Journal of Urban Ecology",6,2
"Other","Journal of Urban Ecology",6,1
"Other","Journal of Urban Ecology",6,1
"USA","Ecological Applications",5,4
"Other","Ecological Applications",5,1
"Other","Bird Study",4,1
"USA","The Auk",4,4
"United Kingdom","Bird Study",4,2
"USA","Diversity and Distributions",4,2
"Other","The Wilson Journal of Ornithology",4,1
"USA","The Wilson Journal of Ornithology",4,2
"USA","Conservation Biology",4,2
"Other","Bird Study",4,1
"Other","The Wilson Journal of Ornithology",4,1
"Other","Conservation Biology",4,1
"Other","Conservation Biology",4,1
"Australia","Diversity and Distributions",4,2
